BuildingID,addr_full,lng,lat
"59258","2698 CRESTON AVENUE BRONX NY 10468","-73.8943","40.8677"
"46066","2856 BRONX PARK EAST BRONX NY 10467","-73.8705","40.8676"
"60873","2860 DECATUR AVENUE BRONX NY 10458","-73.8843","40.8676"
"81866","2701 GRAND CONCOURSE BRONX NY 10468","-73.8941","40.8674"
"43703","595 WEST 207 STREET MANHATTAN NY 10034","-73.9206","40.8673"
"95014","2754 MATTHEWS AVENUE BRONX NY 10467","-73.8622","40.8672"
"67001","230 EAST 196 STREET BRONX NY 10458","-73.8917","40.8672"
"26697","65 PAYSON AVENUE MANHATTAN NY 10034","-73.9276","40.8672"
"95007","2746 MATTHEWS AVENUE BRONX NY 10467","-73.8622","40.867"
"121308","65 WEST 192 STREET BRONX NY 10468","-73.9012","40.867"
"23135","541 ISHAM STREET MANHATTAN NY 10034","-73.9186","40.8669"
"88965","2639 JEROME AVENUE BRONX NY 10468","-73.8983","40.8669"
"121309","67 WEST 192 STREET BRONX NY 10468","-73.9015","40.8669"
"66888","9 EAST 193 STREET BRONX NY 10468","-73.8975","40.8668"
"51282","2707 BRIGGS AVENUE BRONX NY 10458","-73.8917","40.8667"
"88959","2615 JEROME AVENUE BRONX NY 10468","-73.8987","40.8664"
"88958","2607 JEROME AVENUE BRONX NY 10468","-73.8988","40.8663"
"28922","123 VERMILYEA AVENUE MANHATTAN NY 10034","-73.9211","40.8662"
"28920","121 VERMILYEA AVENUE MANHATTAN NY 10034","-73.9212","40.8662"
"117121","2686 VALENTINE AVENUE BRONX NY 10458","-73.8925","40.8662"
"47553","2714 BARNES AVENUE BRONX NY 10467","-73.8632","40.8661"
"117119","2682 VALENTINE AVENUE BRONX NY 10458","-73.8926","40.8661"
"118900","2714 WALLACE AVENUE BRONX NY 10467","-73.8642","40.8661"
"116676","2515 UNIVERSITY AVENUE BRONX NY 10468","-73.9033","40.866"
"28948","66 VERMILYEA AVENUE MANHATTAN NY 10034","-73.9238","40.8659"
"94394","2677 MARION AVENUE BRONX NY 10458","-73.8906","40.8653"
"66988","343 EAST 195 STREET BRONX NY 10458","-73.8897","40.8653"
"85846","2556 HOLLAND AVENUE BRONX NY 10467","-73.8651","40.865"
"85845","2554 HOLLAND AVENUE BRONX NY 10467","-73.8651","40.8649"
"46651","2654 BAINBRIDGE AVENUE BRONX NY 10458","-73.8916","40.8649"
"806583","269 EAST 194 STREET BRONX NY 10458","-73.8924","40.8649"
"28940","35 VERMILYEA AVENUE MANHATTAN NY 10034","-73.9249","40.8648"
"28937","23 VERMILYEA AVENUE MANHATTAN NY 10034","-73.9254","40.8646"
"118885","2515 WALLACE AVENUE BRONX NY 10467","-73.8648","40.8646"
"51241","2616 BRIGGS AVENUE BRONX NY 10458","-73.8928","40.8646"
"5387","600 ACADEMY STREET MANHATTAN NY 10034","-73.9241","40.8646"
"46645","2609 BAINBRIDGE AVENUE BRONX NY 10458","-73.8925","40.8645"
"81593","2499 GRAND AVENUE BRONX NY 10468","-73.9024","40.8645"
"105368","2549 RADCLIFF AVENUE BRONX NY 10469","-73.8609","40.8645"
"26991","127 POST AVENUE MANHATTAN NY 10034","-73.9197","40.8644"
"46644","2605 BAINBRIDGE AVENUE BRONX NY 10458","-73.8925","40.8644"
"51238","2608 BRIGGS AVENUE BRONX NY 10458","-73.8929","40.8644"
"26990","125 POST AVENUE MANHATTAN NY 10034","-73.9198","40.8644"
"101881","2542 PAULDING AVENUE BRONX NY 10469","-73.8584","40.8644"
"46642","2601 BAINBRIDGE AVENUE BRONX NY 10458","-73.8926","40.8643"
"73472","255 EAST KINGSBRIDGE ROAD BRONX NY 10458","-73.8939","40.8642"
